chip_id,lon,lat,dy,dx,corr_after,at_edge
1017769,93.0269436753994,26.60278068913824,1,1,0.9595,0
1018317,92.79697496266479,26.55678694659132,3,10,0.9696,1
1018327,93.80883729869701,26.60278068913824,0,-2,0.9621,0
103447,92.88896244775862,26.83274940187284,-1,-10,0.9802,1
1050276,92.52101250738329,26.188837006215966,0,0,0.9747,0
1068117,93.71684981360318,26.648774431685162,0,-3,0.9697,0
1072277,93.0729374179463,26.234830748762885,0,1,0.8971,0
118868,93.80883729869701,26.372811976403643,1,-2,0.8573,0
135434,92.61299999247711,26.83274940187284,-1,-10,0.9795,1
136196,93.11893116049322,27.246693084795112,1,0,0.5293,0
164336,93.11893116049322,26.2808244913098,0,0,0.7752,0
166709,93.5328748434155,26.924736886966674,0,-4,0.9445,0
177319,93.11893116049322,26.464799461497485,-1,-8,0.3652,0
179238,93.16492490304014,26.87874314441975,-1,-10,0.9555,1
180633,93.30290613068091,26.740761916778997,0,-7,0.9827,0
207862,92.79697496266479,26.32681823385672,0,2,0.9757,0
244057,93.4868811008686,27.292686827342028,1,3,0.601,0
25540,92.56700624993019,26.004862036028282,-1,-4,0.7246,0
265762,93.94681852633778,27.10871185715435,0,-1,0.9664,0
273873,93.0269436753994,27.062718114607435,1,-2,0.172,0
285297,92.75098122011786,26.2808244913098,1,3,0.9734,0
287642,92.61299999247711,26.418805718950562,0,0,0.976,0
324254,93.34889987322782,26.004862036028282,0,-2,0.8058,0
373039,92.93495619030554,27.200699342248196,1,1,0.5878,0
383430,93.5328748434155,26.648774431685162,0,-4,0.9724,0
391908,92.56700624993019,26.188837006215966,0,1,0.9672,0
399883,93.34889987322782,26.694768174232074,0,-6,0.979,0
44475,93.30290613068091,26.464799461497485,2,5,0.7002,0
500266,92.65899373502401,26.096849521122124,0,-2,0.9801,0
533192,93.90082478379085,26.786755659325916,0,-2,0.9696,0
534470,93.11893116049322,25.912874550934447,0,-3,0.9323,0
56450,92.56700624993019,25.912874550934447,0,-4,0.6639,0
566697,93.0729374179463,26.83274940187284,-1,-10,0.9744,1
570384,92.79697496266479,25.912874550934447,0,-2,0.9764,0
591317,92.93495619030554,26.60278068913824,1,3,0.9718,0
591549,93.62486232850932,26.87874314441975,0,-5,0.9612,0
592446,92.8429687052117,25.72889958074677,0,-5,0.9117,0
59460,93.0729374179463,26.510793204044397,2,6,0.4989,0
624341,93.39489361577475,26.050855778575208,0,-2,0.5926,0
631692,93.30290613068091,25.958868293481363,0,-2,0.7776,0
652725,92.65899373502401,26.050855778575208,0,-3,0.9661,0
664410,93.11893116049322,26.050855778575208,0,-1,0.9767,0
691027,93.7628435561501,26.510793204044397,1,-2,0.9359,0
698338,93.71684981360318,26.970730629513593,1,0,0.966,0
70352,92.88896244775862,25.86688080838753,0,-2,0.9744,0
707886,93.0269436753994,25.774893323293686,0,-3,0.9241,0
73419,93.80883729869701,26.970730629513593,1,0,0.9595,0
747970,93.0729374179463,25.774893323293686,0,-3,0.8932,0
747992,92.88896244775862,26.050855778575208,0,-2,0.974,0
764946,93.0729374179463,25.72889958074677,0,-4,0.6318,0
769408,92.8429687052117,26.786755659325916,-1,-9,0.9583,0
772630,93.0269436753994,27.200699342248196,1,1,0.56,0
773682,92.93495619030554,26.694768174232074,0,-4,0.9535,0
774689,92.88896244775862,26.510793204044397,3,10,0.6698,1
79637,93.16492490304014,26.2808244913098,0,0,0.8426,0
80221,92.75098122011786,26.55678694659132,3,10,0.9757,1
804466,92.8429687052117,26.096849521122124,0,-1,0.9762,0
828067,93.7628435561501,26.55678694659132,1,-2,0.9293,0
833266,93.80883729869701,26.648774431685162,0,-3,0.9633,0
842775,93.71684981360318,26.924736886966674,0,-2,0.9513,0
869358,93.21091864558707,26.050855778575208,0,-1,0.9813,0
900498,93.7628435561501,26.740761916778997,0,-3,0.9728,0
91379,92.79697496266479,26.050855778575208,0,-2,0.9714,0
943439,93.34889987322782,26.60278068913824,1,-3,0.9717,0
952728,93.80883729869701,26.87874314441975,0,-2,0.9638,0
956930,92.61299999247711,26.14284326366904,0,-1,0.9851,0
979278,92.42902502228944,26.188837006215966,0,0,0.9797,0
981708,93.80883729869701,26.418805718950562,1,-2,0.9512,0
