chip_id,split,vv_min,vv_max,vv_mean,vh_min,vh_max,vh_mean,s1_nonfinite_px,label_nodata_px,label_water_px,label_land_px,otsu_water_px,jrc_water_px,otsu_iou
1017769,train,-50.74601745605469,1.4039870500564575,-15.863529775477737,-53.53538131713867,-6.851314067840576,-23.193882136087268,0,89173,98143,74828,161054,19299,0.7458733329559148
1018317,valid,-47.723121643066406,8.057482719421387,-18.74232944089011,-56.850257873535156,-0.7512606382369995,-25.560491985556382,0,65167,150710,46267,186772,47671,0.8648079866425491
1018327,test,-48.30550003051758,21.734254837036133,-9.11383458163842,-48.32838821411133,7.1483941078186035,-15.635553277098168,0,2,36649,225493,14564,2694,0.3898824870410074
103447,train,-35.024864196777344,12.600322723388672,-10.408669875713251,-48.52445983886719,7.414898872375488,-17.75279891296765,0,98577,26977,136590,43764,16449,0.6182630986619982
1050276,valid,-30.722150802612305,16.914295196533203,-9.835447462518452,-48.08401107788086,4.926021575927734,-16.910787973676335,0,6959,49005,206180,21806,4869,0.32617864136165087
1068117,valid,-48.23322677612305,17.87894630432129,-9.619064350764083,-49.90521240234375,10.780976295471191,-16.333587637194537,0,32432,47960,181752,25508,8082,0.40242511555315447
1072277,train,-27.218896865844727,14.217148780822754,-8.862981540619046,-47.85340881347656,6.320088863372803,-16.0803876604663,0,2,22546,239596,4853,9,0.12915722233669896
118868,valid,-72.6576919555664,16.25044822692871,-7.735340685928321,-78.15071105957031,6.3122358322143555,-14.431830487630465,205738,99996,10782,151366,4153,0,0.019593118514472964
135434,train,-34.53193664550781,18.142297744750977,-9.666025230943317,-47.474037170410156,3.9573569297790527,-16.658186664185084,6556,144994,10312,106838,24698,228,0.7020622725434694
136196,train,-31.234445571899414,8.933173179626465,-8.071499869904965,-47.74314498901367,0.11700110137462616,-14.709855385242719,0,50400,0,211744,1554,0,0.0
164336,valid,-23.524127960205078,13.94088077545166,-8.033616889071608,-43.072853088378906,7.236952781677246,-14.825428430073003,0,3043,1881,257220,208,0,0.0052935514918190565
166709,train,-23.38611602783203,4.845066070556641,-8.598705575684626,-48.0546760559082,-2.8133862018585205,-15.563533884864228,0,5250,8839,248055,525,0,0.02149012763172248
177319,train,-22.91071891784668,10.506058692932129,-7.703703512230015,-36.461116790771484,4.103365898132324,-14.047301848480613,1470,4919,1595,255630,0,0,0.0
179238,train,-23.72027015686035,13.025178909301758,-9.142165769513444,-45.91145706176758,4.6203742027282715,-16.34528394036471,0,69662,11592,180890,651,0,0.028501559996627034
180633,valid,-47.91963195800781,10.842442512512207,-12.972335989642964,-47.92287063598633,4.501889228820801,-19.962258875148905,0,97589,75763,88792,97999,34050,0.8461621195281971
207862,train,-30.213293075561523,18.246971130371094,-9.026314239375232,-47.67412185668945,9.74384593963623,-15.737084769760123,0,62029,21028,179087,9751,0,0.17766165904637493
244057,valid,-33.47003173828125,9.394251823425293,-5.926623729523596,-47.95560836791992,1.8859844207763672,-12.812427855253215,0,101607,5,160532,373,0,0.0
25540,train,-25.536182403564453,14.669412612915039,-8.100974146239645,-46.631187438964844,4.855196952819824,-15.004747317360057,0,73519,11559,177066,7026,0,0.3288917544236693
265762,train,-25.01263427734375,19.41176986694336,-8.669768236747414,-48.338504791259766,12.405827522277832,-15.99646569709185,0,114848,8533,138763,431,0,0.026635784597568036
273873,train,-34.578773498535156,9.03127384185791,-6.982833555630535,-48.247684478759766,1.251583456993103,-13.519569674613459,0,106536,5446,150162,8052,36,0.04884004884004884
285297,train,-40.93282699584961,19.613025665283203,-9.770485866764224,-47.662391662597656,12.022953987121582,-16.860261861886443,0,17102,36006,209036,21230,0,0.24855247687290635
287642,train,-29.61748695373535,9.789983749389648,-10.550055196158056,-47.56338882446289,-3.32016658782959,-18.342004672575968,0,146767,17914,97463,44869,27,0.3374971610265728
324254,train,-25.558988571166992,16.531782150268555,-7.12477414863611,-34.89799118041992,9.225789070129395,-13.758966082635936,0,0,3883,258261,63,0,0.001777100787001777
373039,train,-28.684608459472656,8.62438678741455,-8.260323411555737,-47.620601654052734,2.1634349822998047,-14.70453197859017,0,19361,1509,241274,7217,9,0.00112261444430585
383430,train,-44.11168670654297,15.132442474365234,-8.815081035071774,-48.09110641479492,7.660780429840088,-14.821039942602951,0,10873,39228,212043,8390,1260,0.19143014742753986
391908,train,-31.256975173950195,10.478002548217773,-9.233144652641716,-48.20242691040039,1.5298054218292236,-16.028884824976586,0,50312,25989,185843,8606,4947,0.26958309964479343
399883,test,-48.932979583740234,0.924241840839386,-15.446122096943668,-56.64678192138672,-4.948674201965332,-21.86824037713268,0,25,136292,125827,145261,33917,0.7422257427703276
44475,test,-24.184703826904297,5.990004062652588,-6.971156814606499,-45.035789489746094,0.3613256812095642,-13.324892148822073,0,1969,0,260175,0,0,nan
500266,train,-27.738290786743164,13.66256332397461,-9.254982156809872,-46.984840393066406,5.407844543457031,-16.799856244412425,0,3,38181,223960,14582,27,0.21699919271133664
533192,valid,-87.50163269042969,12.194382667541504,-11.70023553554993,-87.50163269042969,7.255858421325684,-19.28412745498374,210532,126887,49070,86187,63338,9198,0.6666721196158942
534470,train,-24.918350219726562,14.339391708374023,-8.106429414611137,-47.1828727722168,6.245117664337158,-14.529871900542673,0,11574,7434,243136,319,0,0.034009069085089355
56450,train,-24.93910789489746,17.049142837524414,-7.82311896529141,-36.1848030090332,9.9008207321167,-14.298037946514789,0,80896,82,181166,25,0,0.0
566697,train,-28.041501998901367,18.989574432373047,-9.057473787318512,-47.75184631347656,5.557286262512207,-16.496642733319725,0,46441,14719,200984,5881,0,0.12331525082489794
570384,test,-35.934242248535156,13.73193073272705,-8.830607622195197,-50.00730895996094,8.522713661193848,-15.43241969552129,0,20144,14548,227452,9677,4431,0.38109541765194604
591317,test,-49.67542266845703,10.636155128479004,-14.428080030754934,-53.18480682373047,-0.548915445804596,-20.82319356822677,0,16095,114039,132010,113699,77211,0.8762708233782069
591549,train,-30.96001434326172,24.666152954101562,-8.230189697577469,-41.364959716796875,17.376384735107422,-14.72930619677307,0,16435,11054,234655,22,36,0.0010845986984815619
592446,test,-47.779842376708984,7.660681247711182,-8.578797114680025,-48.4382438659668,-3.9168131351470947,-14.915399534239441,0,37789,9044,215311,7923,7212,0.43425357873210635
59460,train,-28.737777709960938,9.932669639587402,-7.794496163426787,-42.24137496948242,4.643434047698975,-14.095084059689498,0,52791,315,209038,146,0,0.0
624341,train,-26.693893432617188,17.538829803466797,-7.2667755859658545,-45.546791076660156,5.842587947845459,-14.048036026132706,0,2,3224,258918,151,0,0.011084481725584181
631692,test,-24.175580978393555,2.5097672939300537,-7.058556764575346,-29.22733497619629,-4.457502841949463,-13.763167490176784,0,0,802,261342,0,0,0.0
652725,train,-37.160160064697266,18.260488510131836,-9.080163589995733,-47.62818145751953,8.753785133361816,-16.54012605539822,0,50,21795,240299,7556,111,0.19565748737167998
664410,train,-29.8994197845459,7.957015037536621,-9.329755196730538,-47.92378616333008,-3.243798017501831,-17.123929589188265,0,2,13526,248616,4580,63,0.11524484139205421
691027,valid,-29.535512924194336,15.77019214630127,-7.981541323782738,-48.302371978759766,9.084555625915527,-14.626948112664973,0,8110,8394,245640,729,135,0.05847546119039332
698338,train,-23.44485092163086,21.434837341308594,-8.52166332203086,-48.17338180541992,13.438753128051758,-15.529295283074518,0,34160,9936,218048,6269,0,0.4269320423166577
70352,valid,-47.78550338745117,19.186077117919922,-9.355065136471664,-48.03810119628906,2.470085382461548,-15.31164925804714,0,22915,13188,226041,16718,8793,0.6747752511898466
707886,train,-45.424644470214844,7.687286853790283,-8.297677704362652,-47.89493942260742,1.9563871622085571,-14.400787126865083,0,5263,5668,251213,3506,2199,0.5377374348630022
73419,train,-30.22062110900879,19.847043991088867,-8.273742147449298,-46.71711349487305,9.690164566040039,-15.160404411361533,0,83210,6252,172682,370,90,0.007206642644524518
747970,train,-31.350502014160156,16.39934539794922,-7.368689601332166,-47.908687591552734,8.042376518249512,-13.798433709184138,0,15627,5007,241510,1164,573,0.179002726918582
747992,test,-38.07270812988281,9.851446151733398,-10.927324590896728,-47.86728286743164,-1.39195716381073,-18.95465854923168,0,57,117322,144765,62985,0,0.5055820439382427
764946,valid,-27.6104679107666,3.2757630348205566,-7.669780885380494,-40.195003509521484,-2.9938344955444336,-13.884554239498357,0,19642,3146,239356,582,423,0.11909203980099503
769408,valid,-29.440937042236328,16.768476486206055,-8.874209135680706,-47.59795379638672,-0.24931353330612183,-16.175702884345128,0,86237,8582,167325,1862,0,0.12237762237762238
772630,test,-29.494007110595703,11.588814735412598,-6.752565218122734,-47.682125091552734,1.9575787782669067,-13.42056006767325,0,106812,1345,153987,1187,0,0.0
773682,train,-34.34920120239258,11.680649757385254,-8.90231636888555,-47.6882209777832,1.7223070859909058,-16.286924577983484,0,9351,30959,221834,4968,303,0.11581464687247656
774689,train,-42.972900390625,14.318520545959473,-9.21649295282535,-47.70676803588867,2.5531578063964844,-16.285152052890094,1976,24164,18855,219125,10981,2493,0.2564979784067179
79637,test,-27.05678939819336,6.290122032165527,-8.542540075249153,-47.405487060546875,-0.4672885239124298,-15.452942382680476,0,0,5165,256979,964,0,0.06572769953051644
80221,test,-47.691627502441406,8.930299758911133,-17.315245540054647,-53.199344635009766,-5.561323642730713,-23.8602580638144,0,110351,114506,37287,161001,46941,0.8708857817886053
804466,train,-33.73932647705078,8.92487621307373,-9.232978238394143,-47.7435417175293,-2.6379475593566895,-17.057638655906885,0,10,50228,211906,20378,909,0.29371885077689824
828067,test,-30.58640480041504,19.380794525146484,-8.004618654500895,-48.2692985534668,11.045951843261719,-14.480865789614992,0,79024,6994,176126,1327,618,0.17081750386942451
833266,valid,-30.23045539855957,21.087770462036133,-8.620372352603791,-45.5046272277832,12.694729804992676,-15.64149242661017,0,42470,18262,201412,1002,72,0.048856378623287296
842775,train,-24.075664520263672,18.926128387451172,-8.69955406701376,-44.20407485961914,10.17697811126709,-15.51155030753808,0,15726,5929,240489,1577,0,0.16048237476808905
869358,valid,-29.265640258789062,18.669315338134766,-9.199191984265461,-47.9835319519043,8.306883811950684,-16.474282560511732,0,0,5050,257094,5326,45,0.06825903428394935
900498,test,-48.26825714111328,2.0556297302246094,-13.395038518061305,-53.7394905090332,-5.647802352905273,-21.489230554558162,0,152,123953,138039,127958,56358,0.7612421647638236
91379,train,-29.40143585205078,18.39676856994629,-9.26710488646305,-47.9688835144043,10.509784698486328,-17.06631348486578,0,11,29594,232539,11674,576,0.23468166586883676
943439,train,-47.95964813232422,12.625666618347168,-10.032740563143683,-48.833168029785156,4.796529293060303,-15.826771470107587,0,12048,47609,202487,26920,6729,0.42319543948848315
952728,test,-31.83875274658203,20.504467010498047,-8.68172929776437,-48.283687591552734,12.556062698364258,-15.528455451623296,0,73428,5848,182868,1282,267,0.07832982683282085
956930,train,-36.52406311035156,21.5538387298584,-9.351934141269965,-48.570621490478516,8.801491737365723,-15.581332164475704,0,25014,40096,197034,11455,2325,0.21002340564148347
979278,train,-39.01594543457031,6.60865592956543,-8.875587836226456,-47.47959899902344,-4.876285076141357,-16.902072006380447,276186,153075,5437,103632,7620,6081,0.3308899324246936
981708,train,-65.45004272460938,20.16878318786621,-8.01047864578423,-79.16144561767578,12.642666816711426,-15.080505244242564,79144,38120,10388,213636,6120,0,0.019816881976671266
